,,,,,,,,,
1,,Updated Date-2015.05.11 13:22,,,,,,,
2,,Source-DRR Portal,,,,,,,
3,,Send Fund to PMDRF-http://pmrelief.opmcm.gov.np/,,,,,,,
4,,For More Information - http://eq.nitc.gov.np/,,,,,,,
5,,SN,District,Death and Injury,,House Destroyed,,,
6,,,,Death,Injury,Government,,Other,
7,,,,,,Complete,Partial,Complete,Partial
8,,,Total,"8,046","17,866",10790,14997,288798,254112
,,,,,,,,,
9,,1,Sindhupalchowk,3107,859,0,0,44310,18991
10,,2,Kathmandu,1222,4634,9990,12915,27640,33215
11,,3,Nuwakot,1000,1311,16,0,30000,15000
12,,4,Dhading,719,702,200,28,20000,15000
13,,5,RASUWA,543,753,0,0,8000,1000
14,,6,Gorkha,410,1030,40,14,44607,13236
15,,7,Bhaktapur,319,1861,0,0,7000,2000
16,,8,Kavrepalanchowk,317,2780,2,93,30000,18545
17,,9,Lalitpur,176,2529,252,259,16344,5851
18,,10,Dolakha,77,304,6,0,5000,35000
19,,11,Makawanpur,33,127,0,0,363,497
20,,12,Ramechhap,27,34,0,0,17072,23149
21,,13,Solukhumbu,22,80,21,13,2483,6176
22,,14,Okhaldhunga,19,53,11,12,8000,10000
23,,15,Sindhuli,12,148,18,166,4159,8545
24,,16,Sunsari,7,25,1,50,2,21
25,,17,Chitawan,7,95,5,6,2046,3217
26,,18,Bara,5,29,5,2,7,49
27,,19,Parsa,5,23,0,14,16,20
28,,20,Lamjung,5,31,32,95,7430,0
29,,21,Morang,2,48,0,23,2,40
30,,22,Bhojpur,2,8,13,25,1309,2195
31,,23,Kaski,2,30,0,55,174,700
32,,24,Taplejung,1,4,0,53,3,338
33,,25,Dhanusha,1,19,0,0,1,0
34,,26,Sarlahi,1,50,0,0,56,313
35,,27,Rautahat,1,26,0,32,24,170
36,,28,Nawalparasi,1,13,0,0,17,68
37,,29,Tanahu,1,21,0,21,3377,12927
38,,30,Rolpa,1,5,1,15,42,80
39,,31,Rukum,1,1,10,16,61,120
40,,32,Panchthar,0,5,9,56,41,481
41,,33,Ilaam,0,6,5,28,93,393
42,,34,Jhapa,0,19,1,35,1,29
43,,35,Dhankuta,0,2,0,36,15,85
44,,36,Terhathum,0,2,1,11,162,507
45,,37,Shankhuwasabha,0,5,67,79,326,766
46,,38,Khotang,0,4,19,52,1983,4764
47,,39,Udayapur,0,29,3,228,95,205
48,,40,Siraha,0,24,0,1,0,57
49,,41,Saptari,0,17,1,14,0,47
50,,42,Mahottari,0,10,0,13,43,38
51,,43,Rupandehi,0,30,0,0,10,1043
52,,44,Kapilbastu,0,3,0,1,0,24
53,,45,Palpa,0,15,0,120,1060,1510
54,,46,Arghakhanchi,0,2,2,29,140,485
55,,47,Gulmi,0,6,0,100,770,2629
56,,48,Shyanja,0,6,12,91,3119,9695
57,,49,Manang,0,1,2,48,5,68
58,,50,Mustang,0,1,2,19,56,617
59,,51,Myagdi,0,7,0,0,97,490
60,,52,Baglung,0,6,30,36,428,1176
61,,53,Parbat,0,11,9,39,777,1617
62,,54,Dang,0,3,1,19,7,508
63,,55,Pyuthan,0,7,0,0,3,66
64,,56,Salyan,0,2,3,16,18,147
65,,57,Dolpa,0,0,0,0,1,5
66,,58,Mugu,0,0,0,0,0,0
67,,59,Humla,0,0,0,0,0,0
68,,60,Jumla,0,2,0,0,0,2
69,,61,Kalikot,0,0,0,1,2,0
70,,62,Jajarkot,0,1,0,0,0,28
71,,63,Dailekh,0,0,0,0,0,9
72,,64,Surkhet,0,3,0,11,1,31
73,,65,Bardiya,0,2,0,0,0,40
74,,66,Banke,0,0,0,0,0,81
75,,67,Kailali,0,1,0,5,0,4
76,,68,Doti,0,0,0,1,0,0
77,,69,Achhaam,0,0,0,0,0,0
78,,70,Bajura,0,0,0,0,0,1
79,,71,Bajhang,0,0,0,0,0,0
80,,72,Darchula,0,0,0,0,0,0
81,,73,Baitadi,0,0,0,0,0,0
82,,74,Dadeldhura,0,0,0,0,0,1
83,,75,Kanchanpur,0,1,0,1,0,0
