distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial,population,deadpercent,injuredpercent
1,Achham,0,0,0,0,0,0,257477,0,0
2,Arghakhanchi,0,0,0,0,16,77,197632,0,0
3,Baglung,0,0,0,0,800,1000,268613,0,0
4,Baitadi,0,0,0,0,0,0,250898,0,0
5,Bajhang,0,0,0,0,0,0,195159,0,0
6,Bajura,0,0,0,0,0,1,134912,0,0
7,Banke,0,0,0,0,0,81,491313,0,0
8,Bara,5,29,0,0,7,60,687708,0.001,0.004
9,Bardiya,0,2,0,0,0,40,426576,0,0
10,Bhaktapur,261,1886,0,0,9000,0,304651,0.086,0.619
11,Bhojpur,2,8,13,21,738,871,182459,0.001,0.004
12,Chitwan,6,39,0,0,121,68,579984,0.001,0.007
13,Dadeldhura,0,0,0,0,0,1,142094,0,0
14,Dailekh,0,0,0,0,0,9,261770,0,0
15,Dang,0,3,0,13,7,452,552583,0,0.001
16,Darchula,0,0,0,0,0,0,133274,0,0
17,Dhading,527,523,0,0,20000,3000,336067,0.157,0.156
18,Dhankuta,0,2,0,4,15,85,163412,0,0.001
19,Dhanusha,1,19,0,0,85,60,754777,0,0.003
20,Dolakha,60,158,0,0,32,62,186557,0.032,0.085
21,Dolpa,0,0,0,0,1,5,36700,0,0
22,Doti,0,0,0,1,0,0,211746,0,0
23,Gorkha,407,1033,0,0,0,0,271061,0.150,0.381
24,Gulmi,0,6,0,32,507,2004,280160,0,0.002
25,Humla,0,0,0,0,0,0,50858,0,0
26,Ilam,0,3,1,7,1,33,290254,0,0.001
27,Jajarkot,0,1,0,0,0,28,171304,0,0.001
28,Jhapa,0,14,1,35,1,29,812650,0,0.002
29,Jumla,0,2,0,0,0,2,108921,0,0.002
30,Kabhrepalanchok,274,929,2,93,9505,18545,381937,0.072,0.243
31,Kailali,0,0,0,5,0,4,775709,0,0
32,Kalikot,0,0,0,1,2,0,136948,0,0
33,Kanchanpur,0,0,0,1,0,0,451248,0,0
34,Kapilbastu,0,3,0,0,0,24,571936,0,0.001
35,Kaski,2,30,0,0,174,700,492098,0,0.006
36,Kathmandu,1049,2400,9990,12915,17750,20300,1744240,0.060,0.138
37,Khotang,0,4,0,7,39,19,206312,0,0.002
38,Lalitpur,169,1090,111,79,16294,5818,468132,0.036,0.233
39,Lamjung,4,25,0,0,2094,2129,167724,0.002,0.015
40,Mahottari,0,7,0,0,43,37,627580,0,0.001
41,Makawanpur,33,115,0,0,363,497,420477,0.008,0.027
42,Manang,0,1,0,0,5,68,6538,0,0.015
43,Morang,2,42,0,23,2,40,965370,0,0.004
44,Mugu,0,0,0,0,0,0,55286,0,0
45,Mustang,0,1,5,15,20,124,13452,0,0.007
46,Myagdi,0,4,0,0,1,32,113641,0,0.004
47,Nawalparasi,1,9,0,0,17,68,643508,0,0.001
48,Nuwakot,707,964,0,0,30000,15000,277471,0.255,0.347
49,Okhaldhunga,18,35,1,9,37,27,147984,0.012,0.024
50,Palpa,0,4,0,0,353,1321,261180,0,0.002
51,Panchthar,0,5,1,9,5,202,191817,0,0.003
52,Parsa,5,23,0,0,0,30,601017,0.001,0.004
53,Parwat,0,10,0,0,815,1530,146590,0,0.007
54,Pyuthan,0,6,0,0,3,66,228102,0,0.003
55,Ramechhap,24,24,0,0,0,0,202646,0.012,0.012
56,Rasuwa,304,747,0,0,8000,1000,43300,0.702,1.725
57,Rautahat,1,20,0,0,24,313,686722,0,0.003
58,Rolpa,1,5,0,11,29,80,224506,0,0.002
59,Rukum,1,1,0,0,26,50,208567,0,0
60,Rupandehi,0,27,0,0,0,10,880196,0,0.003
61,Salyan,0,1,0,0,8,110,242444,0,0
62,Sankhuwasabha,0,3,6,55,137,280,158742,0,0.002
63,Saptari,0,16,1,14,0,47,639284,0,0.003
64,Sarlahi,1,49,0,0,56,339,769729,0,0.006
65,Sindhuli,9,55,0,0,10420,1638,296192,0.003,0.019
66,Sindhupalchok,1677,614,0,0,0,0,287798,0.583,0.213
67,Siraha,0,19,0,1,0,57,637328,0,0.003
68,Solukhumbu,22,79,6,5,1501,4533,105886,0.021,0.075
69,Sunsari,7,24,0,31,2,21,763487,0.001,0.003
70,Surkhet,0,3,0,11,1,31,350804,0,0.001
71,Syangja,0,6,0,0,134,175,289148,0,0.002
72,Tanahun,1,18,0,21,739,1902,323288,0,0.006
73,Taplejung,1,3,0,13,5,70,127461,0.001,0.002
74,Terhathum,0,1,1,11,3,30,101577,0,0.001
75,Udaypur,0,25,0,59,95,621,317532,0,0.008
