distID,district,dead,injured,GovComplete,GovPartial,OthComplete,OthPartial,population,deadpercent,injuredpercent
1,Achham,0,0,0,0,0,0,257477,0,0
2,Arghakhanchi,0,2,0,25,100,100,197632,0,0.001
3,Baglung,0,0,0,36,428,1176,268613,0,0
4,Baitadi,0,0,0,0,0,0,250898,0,0
5,Bajhang,0,0,0,0,0,0,195159,0,0
6,Bajura,0,0,0,0,0,1,134912,0,0
7,Banke,0,0,0,0,0,81,491313,0,0
8,Bara,5,29,5,2,7,49,687708,0.001,0.004
9,Bardiya,0,2,0,0,0,40,426576,0,0
10,Bhaktapur,278,1887,0,0,7000,2000,304651,0.091,0.619
11,Bhojpur,2,8,13,25,1056,1326,182459,0.001,0.004
12,Chitwan,7,81,5,6,125,42,579984,0.001,0.014
13,Dadeldhura,0,0,0,0,0,1,142094,0,0
14,Dailekh,0,0,0,0,0,9,261770,0,0
15,Dang,0,3,0,13,7,452,552583,0,0.001
16,Darchula,0,0,0,0,0,0,133274,0,0
17,Dhading,656,589,200,28,2000,3000,336067,0.195,0.175
18,Dhankuta,0,2,0,36,15,85,163412,0,0.001
19,Dhanusha,1,19,0,0,1,0,754777,0,0.003
20,Dolakha,64,174,32,0,5000,35000,186557,0.034,0.093
21,Dolpa,0,0,0,0,1,5,36700,0,0
22,Doti,0,0,0,1,0,0,211746,0,0
23,Gorkha,410,1034,30,28,44877,13438,271061,0.151,0.381
24,Gulmi,0,6,0,42,507,2004,280160,0,0.002
25,Humla,0,0,0,0,0,0,50858,0,0
26,Ilam,0,4,1,5,1,33,290254,0,0.001
27,Jajarkot,0,1,0,0,0,28,171304,0,0.001
28,Jhapa,0,19,1,35,1,29,812650,0,0.002
29,Jumla,0,2,0,0,0,2,108921,0,0.002
30,Kabhrepalanchok,312,930,2,93,30000,18545,381937,0.082,0.243
31,Kailali,0,0,0,5,0,4,775709,0,0
32,Kalikot,0,0,0,1,2,0,136948,0,0
33,Kanchanpur,0,0,0,1,0,0,451248,0,0
34,Kapilbastu,0,3,0,1,0,24,571936,0,0.001
35,Kaski,2,30,0,55,174,700,492098,0,0.006
36,Kathmandu,1194,4634,9990,12915,27640,33215,1744240,0.068,0.266
37,Khotang,0,3,18,53,1580,1615,206312,0,0.001
38,Lalitpur,172,1141,111,79,16294,5818,468132,0.037,0.244
39,Lamjung,5,31,32,81,2735,4500,167724,0.003,0.018
40,Mahottari,0,7,0,13,43,38,627580,0,0.001
41,Makawanpur,35,124,0,0,363,497,420477,0.008,0.029
42,Manang,0,1,0,0,5,68,6538,0,0.015
43,Morang,2,45,0,23,2,40,965370,0,0.005
44,Mugu,0,0,0,0,0,0,55286,0,0
45,Mustang,0,1,5,15,23,124,13452,0,0.007
46,Myagdi,0,4,0,0,1,32,113641,0,0.004
47,Nawalparasi,1,13,0,0,17,68,643508,0,0.002
48,Nuwakot,798,1307,16,0,30000,15000,277471,0.288,0.471
49,Okhaldhunga,19,53,11,12,37,27,147984,0.013,0.036
50,Palpa,0,15,0,120,1060,1510,261180,0,0.006
51,Panchthar,0,5,9,56,122,481,191817,0,0.003
52,Parsa,5,23,0,14,16,20,601017,0.001,0.004
53,Parwat,0,11,9,39,844,1617,146590,0,0.008
54,Pyuthan,0,6,0,0,3,66,228102,0,0.003
55,Ramechhap,24,23,0,0,2534,2266,202646,0.012,0.011
56,Rasuwa,384,748,0,0,8000,1000,43300,0.887,1.727
57,Rautahat,1,22,0,32,24,170,686722,0,0.003
58,Rolpa,1,5,0,11,29,80,224506,0,0.002
59,Rukum,1,1,10,16,55,120,208567,0,0
60,Rupandehi,0,30,0,0,10,1043,880196,0,0.003
61,Salyan,0,2,0,14,18,147,242444,0,0.001
62,Sankhuwasabha,0,3,9,15,18,104,158742,0,0.002
63,Saptari,0,16,1,14,0,47,639284,0,0.003
64,Sarlahi,1,49,0,0,56,313,769729,0,0.006
65,Sindhuli,10,59,0,4,1042,1638,296192,0.003,0.020
66,Sindhupalchok,2829,734,0,0,0,0,287798,0.983,0.255
67,Siraha,0,24,0,1,0,57,637328,0,0.004
68,Solukhumbu,22,78,18,14,157,200,105886,0.021,0.074
69,Sunsari,7,23,1,50,2,21,763487,0.001,0.003
70,Surkhet,0,3,0,11,1,31,350804,0,0.001
71,Syangja,0,6,1,125,2570,8689,289148,0,0.002
72,Tanahun,1,18,0,21,3377,12927,323288,0,0.006
73,Taplejung,1,3,0,13,5,70,127461,0.001,0.002
74,Terhathum,0,1,1,11,3,30,101577,0,0.001
75,Udaypur,0,25,0,58,33,154,317532,0,0.008
76,sum,7250,14122,10531,14268,190021,172017,26494504,0.027,0.053
